ticker,stock_name,isin_code,market_type
098120.KQ,마이크로컨텍솔,KR7098120009,KOSDAQ
095570.KS,AJ네트웍스,KR7095570008,KOSPI
006840.KS,AK홀딩스,KR7006840003,KOSPI
282330.KS,BGF리테일,KR7282330000,KOSPI
027410.KS,BGF,KR7027410000,KOSPI
138930.KS,BNK금융지주,KR7138930003,KOSPI
001465.KS,BYC우,KR7001461003,KOSPI
001460.KS,BYC,KR7001460005,KOSPI
001045.KS,CJ우,KR7001041003,KOSPI
001040.KS,CJ,KR7001040005,KOSPI
011155.KS,CJ씨푸드1우,KR7011151008,KOSPI
011150.KS,CJ씨푸드,KR7011150000,KOSPI
058820.KQ,CMG제약,KR7058820002,KOSDAQ
000590.KS,CS홀딩스,KR7000590000,KOSPI
012030.KS,DB,KR7012030003,KOSPI
005830.KS,DB손해보험,KR7005830005,KOSPI
016610.KS,DB증권,KR7016610008,KOSPI
000990.KS,DB하이텍,KR7000990002,KOSPI
001530.KS,DI동일,KR7001530005,KOSPI
000215.KS,DL우,KR7000211003,KOSPI
000210.KS,DL,KR7000210005,KOSPI
375500.KS,DL이앤씨,KR7375500006,KOSPI
155660.KS,DSR,KR7155660004,KOSPI
069730.KS,DSR제강,KR7069730000,KOSPI
017860.KS,DS단석,KR7017860008,KOSPI
017940.KS,E1,KR7017940008,KOSPI
365550.KS,ESR켄달스퀘어리츠,KR7365550003,KOSPI
050120.KQ,ES큐브,KR7050120005,KOSDAQ
383220.KS,F&F,KR7383220001,KOSPI
007700.KS,F&F홀딩스,KR7007700008,KOSPI
078935.KS,GS우,KR7078931003,KOSPI
006360.KS,GS건설,KR7006360002,KOSPI
078930.KS,GS,KR7078930005,KOSPI
012630.KS,HDC,KR7012630000,KOSPI
294870.KS,HDC현대산업개발,KR7294870001,KOSPI
097230.KS,HJ중공업,KR7097230007,KOSPI
014790.KS,HL D&I,KR7014790000,KOSPI
024850.KQ,HLB이노베이션,KR7024850000,KOSDAQ
204320.KS,HL만도,KR7204320006,KOSPI
060980.KS,HL홀딩스,KR7060980000,KOSPI
035000.KS,HS애드,KR7035000009,KOSPI
003560.KS,IHQ,KR7003560000,KOSPI
015360.KS,INVENI,KR7015360001,KOSPI
175330.KS,JB금융지주,KR7175330000,KOSPI
234080.KS,JW생명과학,KR7234080000,KOSPI
001065.KS,JW중외제약우,KR7001061001,KOSPI
001067.KS,JW중외제약2우B,KR7001062009,KOSPI
001060.KS,JW중외제약,KR7001060003,KOSPI
096760.KS,JW홀딩스,KR7096760004,KOSPI
105560.KS,KB금융,KR7105560007,KOSPI
432320.KS,KB스타리츠,KR7432320000,KOSPI
024120.KQ,KB오토시스,KR7024120008,KOSDAQ
