Price,Adj Close,Close,High,Low,Open,Volume
Ticker,098120.KQ,098120.KQ,098120.KQ,098120.KQ,098120.KQ,098120.KQ
Date,,,,,,
2025-08-26,16740.0,16740.0,16970.0,16060.0,16420.0,125610
2025-08-27,16640.0,16640.0,16740.0,16370.0,16740.0,71536
2025-08-28,16530.0,16530.0,16650.0,16280.0,16630.0,105978
2025-08-29,16020.0,16020.0,16700.0,15890.0,16530.0,109508
2025-09-01,16100.0,16100.0,16270.0,15500.0,15580.0,78935
2025-09-02,16210.0,16210.0,16390.0,15810.0,16200.0,95507
2025-09-03,16190.0,16190.0,16250.0,15700.0,16210.0,139514
2025-09-04,16470.0,16470.0,16590.0,16020.0,16020.0,53374
2025-09-05,16720.0,16720.0,16930.0,16420.0,16550.0,88062
2025-09-08,16540.0,16540.0,16700.0,16210.0,16700.0,85215
2025-09-09,17960.0,17960.0,17980.0,16580.0,16750.0,257602
2025-09-10,17350.0,17350.0,17990.0,17100.0,17960.0,248148
2025-09-11,18050.0,18050.0,19000.0,17440.0,17440.0,224415
2025-09-12,18760.0,18760.0,18840.0,17650.0,17650.0,146842
2025-09-15,19650.0,19650.0,19700.0,18930.0,19000.0,174845
2025-09-16,19300.0,19300.0,19800.0,19160.0,19660.0,65064
2025-09-17,19160.0,19160.0,19300.0,18500.0,19110.0,53585
2025-09-18,20400.0,20400.0,20750.0,19100.0,19210.0,116035
2025-09-19,20000.0,20000.0,21050.0,19780.0,20400.0,68123
2025-09-22,21500.0,21500.0,22150.0,20000.0,20000.0,107634
2025-09-23,20950.0,20950.0,22450.0,20600.0,21800.0,89334
2025-09-24,22300.0,22300.0,22550.0,20600.0,20850.0,123480
2025-09-25,21750.0,21750.0,22400.0,21500.0,22300.0,56868
2025-09-26,21250.0,21250.0,21900.0,20600.0,21400.0,104879
